"Feature id","Feature description","Module implementing the feature"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.findSetterMethod(java.lang.reflect.Method[],java.lang.String,java.lang.String)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.findAnnotatedMember(java.lang.reflect.AccessibleObject[],java.lang.Class)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.defineClass(org.mozilla.javascript.Scriptable,java.lang.Class)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.initAsConstructor(org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.createObject(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.buildClassCtor(org.mozilla.javascript.Scriptable,java.lang.Class,boolean,boolean)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptableObject.getPropertyName(java.lang.String,java.lang.String,java.lang.annotation.Annotation)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.isVarArgsMethod()"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.isVarArgsConstructor()"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.FunctionObject.getMethodList(java.lang.Class)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ast.NewExpression.NewExpression(int)"
"f01","load Java Class definition to use in JavaScript","org.mozilla.javascript.ScriptRuntime.newObject(java.lang.Object,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaMethod.call(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaMethod.NativeJavaMethod(org.mozilla.javascript.MemberBox[],java.lang.String)"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaMethod.NativeJavaMethod(org.mozilla.javascript.MemberBox[])"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.JavaMembers$MethodSignature.MethodSignature(java.lang.reflect.Method)"
"f02","load Java Class instance to use in JavaScript","org.mozilla.javascript.NativeJavaObject.getDefaultValue(java.lang.Class)"
"f03","use JavaScript Function","org.mozilla.javascript.InterpretedFunction.createFunction(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.InterpreterData,java.lang.Object)"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.execIdCall(org.mozilla.javascript.IdFunctionObject,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f03","use JavaScript Function","org.mozilla.javascript.ScriptRuntime.getElemFunctionAndThis(java.lang.Object,java.lang.Object,org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.ScriptRuntime.nameOrFunction(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.String,boolean)"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.setupDefaultPrototype()"
"f03","use JavaScript Function","org.mozilla.javascript.BaseFunction.createObject(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.Optimizer.convertParameter(org.mozilla.javascript.Node)"
"f03","use JavaScript Function","org.mozilla.javascript.FunctionObject.call(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Scriptable,java.lang.Object[])"
"f03","use JavaScript Function","org.mozilla.javascript.FunctionObject.FunctionObject(java.lang.String,java.lang.reflect.Member,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.CodeGenerator.generateFunctionICode()"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptRuntime.initFunction(org.mozilla.javascript.NativeFunction,int,org.mozilla.javascript.Scriptable,org.mozilla.javascript.Context)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptFunctionNode.get(org.mozilla.javascript.ast.ScriptNode,int)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptFunctionNode.OptFunctionNode(org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.Codegen.generateFunctionInit(org.mozilla.classfile.ClassFileWriter,org.mozilla.javascript.optimizer.OptFunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.Codegen.generateFunctionConstructor(org.mozilla.classfile.ClassFileWriter)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.BodyCodegen.visitFunction(org.mozilla.javascript.optimizer.OptFunctionNode,int)"
"f03","use JavaScript Function","org.mozilla.javascript.Parser$PerFunctionVariables.PerFunctionVariables(org.mozilla.javascript.Parser,org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.NativeFunction.initScriptFunction(org.mozilla.javascript.Context,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.IRFactory.transformFunction(org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionNode.FunctionNode(int,org.mozilla.javascript.ast.Name)"
"f03","use JavaScript Function","org.mozilla.javascript.Parser.parseFunctionParams(org.mozilla.javascript.ast.FunctionNode)"
"f03","use JavaScript Function","org.mozilla.javascript.Parser.parseFunctionBody()"
"f03","use JavaScript Function","org.mozilla.javascript.ScriptRuntime.setFunctionProtoAndParent(org.mozilla.javascript.BaseFunction,org.mozilla.javascript.Scriptable)"
"f03","use JavaScript Function","org.mozilla.javascript.ast.FunctionCall.setArguments(java.util.List)"
"f03","use JavaScript Function","org.mozilla.javascript.IRFactory.transformFunctionCall(org.mozilla.javascript.ast.FunctionCall)"
"f03","use JavaScript Function","org.mozilla.javascript.optimizer.OptTransformer.detectDirectCall(org.mozilla.javascript.Node,org.mozilla.javascript.ast.ScriptNode)"
